x_date,loess
18691,15.9330732639433
18691,15.9330732639433
18692,16.0986853019888
18692,16.0986853019888
18693,16.29641834451
18693,16.29641834451
18693,16.29641834451
18694,16.4772750142384
18694,16.4772750142384
18695,16.6294619374493
18695,16.6294619374493
18695,16.6294619374493
18696,16.7691851380364
18696,16.7691851380364
18696,16.7691851380364
18697,16.8461566130087
18697,16.8461566130087
18698,16.8798082179869
18698,16.8798082179869
18698,16.8798082179869
18699,16.8730620996358
18699,16.8730620996358
18700,16.818741258969
18700,16.818741258969
18700,16.818741258969
18701,16.7218023990691
18701,16.7218023990691
18702,16.5758587318379
18702,16.5758587318379
18702,16.5758587318379
18703,16.3915376935838
18703,16.3915376935838
18704,16.1725277031606
18704,16.1725277031606
18704,16.1725277031606
18705,15.931347936821
18705,15.931347936821
18706,15.6768339533379
18706,15.6768339533379
18706,15.6768339533379
18707,15.3785113167057
18707,15.3785113167057
18707,15.3785113167057
18708,15.1544741397005
18708,15.1544741397005
18709,14.9725608296847
18709,14.9725608296847
18709,14.9725608296847
18710,14.8302942374573
18710,14.8302942374573
18711,14.7303607092818
18711,14.7303607092818
18711,14.7303607092818
18712,14.6647632736395
18712,14.6647632736395
18713,14.6345536199578
18713,14.6345536199578
18713,14.6345536199578
18714,14.6310353965907
18714,14.6310353965907
18715,14.6529810088216
18715,14.6529810088216
18715,14.6529810088216
18716,14.6927938640834
18716,14.6927938640834
18717,14.7479640255608
18717,14.7479640255608
18717,14.7479640255608
18718,14.8259036567395
18718,14.8259036567395
18718,14.8259036567395
18719,14.895701346676
18719,14.895701346676
18720,14.9671662114963
18720,14.9671662114963
18720,14.9671662114963
18721,15.0394894970508
18721,15.0394894970508
18722,15.0977258306175
18722,15.0977258306175
